nr	paper	seq	score	words	kind	doctype	family	form	note	stem
14	2022年四川省公考《申论》题（下半年行政执法卷）.pdf	1	15	200	小题（概括/分析/对策）					一、请根据“给定资料1”，谈谈罗剑为什么能得到大家的好评。（15 分） 要求：分析全面、深刻，条理清晰，不超过200字。
15	2022年四川省公考《申论》题（下半年行政执法卷）.pdf	2	20	300	小题（概括/分析/对策）					二、请根据“给定资料2”，概括H市提升行政执法管理服务水平的措施。（20 分） 要求：全面、准确、有条理，不超过300字。
16	2022年四川省公考《申论》题（下半年行政执法卷）.pdf	3	25	500	贯彻执行	交流发言	交流材料	full	研讨会大会交流发言	三、Q市拟召开“把脉基层治理现代化转型痛点”研讨会，宁川区社会矛盾纠纷联合调处中心将在大会交流发 言。请根据“给定资料3”，撰写一份发言稿。（25 分） 要求：(1)内容全面，条理清晰；(2)简明扼要，格式规范；(3)不超过500字。
17	2022年四川省公考《申论》题（下半年行政执法卷）.pdf	4	40	1000	文章论述					四、假如你参加了L市政法系统开展的“诵读红色家书，传承红色基因”主题活动，请根据“给定资料4”，联系 实际，自选角度，自拟题目，写一篇心得体会。（40 分） 要求：(1)观点明确，认识深刻；(2)结构完整，思路清晰；(3)语言流畅，字数800-1000字。 1000
18	2022年国家公考《申论》题（副省级）.pdf	1	10	200	小题（概括/分析/对策）					一、根据“给定资料1”，请你谈谈B公司的案例为企业科技创新提供了哪些启示。（10 分） 要求：分析全面，条理清晰，不超过200字。
19	2022年国家公考《申论》题（副省级）.pdf	2	15	300	小题（概括/分析/对策）					二、根据“给定资料2”，请你谈谈G省在推进粮食产业发展中遇到了哪些问题，并逐一说明这些问题都是如 何解决的。（15 分） 要求：(1)提炼准确，归纳合理；(2)层次分明，分条表述；(3)不超过300字。为进一步开发乡村旅游产业，临诗村 所在的向江县计划举办“畅游美丽渔村，感受渔家文化”临诗村专场推介会。
20	2022年国家公考《申论》题（副省级）.pdf	3	20	500	贯彻执行	宣传材料	宣传	full	向参会企业和游客推介	三、假如你是该县文化旅游局工作人员，请你草拟一份宣传材料，向参会旅游企业和游客推介临诗特色乡 村旅游。（20 分） 要求：紧扣资料，内容全面，条理清晰，语言生动，不超过500字。
21	2022年国家公考《申论》题（副省级）.pdf	4	20	400	小题（概括/分析/对策）					四、根据“给定资料4”，请你谈谈为什么说“未来学校”是站在更高的教育境界上来思考学校发展的，是从哪 些方面体现的。（20 分） 要求：全面、准确、有条理，不超过400字。
22	2022年国家公考《申论》题（副省级）.pdf	5	35	1200	文章论述					五、“给定资料5”中说“今天的思维和播种，决定了我们未来的收获”，请结合对这句话的理解，参考给定资 料，联系实际，自选角度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数1000- 1200字。 1000 1100 1200
23	2022年国家公考《申论》题（地市级）（网友回忆版）.pdf	1	15	350	小题（概括/分析/对策）					一、“给定材料1”呈现了交通旅游融合发展的几个案例，请你谈谈这些案例各自体现出了哪些亮点。（15 分） 要求：全面、准确，有条理。不超过350字。
24	2022年国家公考《申论》题（地市级）（网友回忆版）.pdf	2	20	450	小题（概括/分析/对策）					二、请你根据“给定资料2”调研组的调查走访情况，梳理出北溪县在农村公路养护管理工作中存在的主要问 题，并提出解决问题的建议。（20 分） 要求：(1)问题梳理全面、准确、有条理；(2)所提建议与问题相对应，具体明确、切实可行；(3)不超过450字。
25	2022年国家公考《申论》题（地市级）（网友回忆版）.pdf	3	15	250	贯彻执行	编者按	编者按	full	为简报写	三、F市教育局准备根据“给定资料3”中任校长的发言稿编一期简报，推广第三中学“五育”融合育人的做法。 请你为该简报撰写一则“编者按”。（15 分） 要求：全面、准确、简明扼要。不超过250字。
26	2022年国家公考《申论》题（地市级）（网友回忆版）.pdf	4	15	350	小题（概括/分析/对策）					四、“给定资料4”中M公司的黄总对公司的发展前景充满信心，你认为他为什么有这样的信心？（15 分） 要求：分析全面，条理清晰。不超过350字。万物在融合中发展变化，融合不是简单嫁接，而是要实现融和与融 活。
27	2022年国家公考《申论》题（地市级）（网友回忆版）.pdf	5	35	1200	文章论述					五、请你以“融和·融活”为话题，参考给定资料，联系实际，自选角度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数 1000~1200字。 1000 1100 1200
28	2022年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	1	15	250	小题（概括/分析/对策）					一、“给定资料1”反映了N市积极落实惠企政策的有关情况，请简述其主要做法及成效。（15 分） 要求：全面、准确、有条理。不超过250字。
29	2022年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	2	15	300	小题（概括/分析/对策）					二、根据“给定资料2”，谈谈你对“现在撤掉的是‘眼中的柜台’，但我们更要在撤掉‘心中的柜台’上下功夫”这 句话的理解。（15 分） 要求：分析全面，条理清晰。不超过300字。
30	2022年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	3	20	500	贯彻执行	建议书	建议	full	题干只说「撰写一份工作建议」，靠参考答案的标题裁定	三、J市税务局积极优化税收服务，为群众办实事，采取了多项举措，效果良好，请根据“给定资料3”，就J 市税务局如何进一步强化举措、巩固成果，形成长效机制，撰写一份工作建议。（20 分） 要求：(1)紧扣资料，内容全面；(2)建议具有针对性、可行性；(3)准确简明，条理清晰；(4)不超过500字。有关部 门拟召开一场以“严执法，优服务，促发展”为主题的经验交流会。
31	2022年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	4	20	500	贯彻执行	经验交流材料	交流材料	outline	明确要提纲	四、请根据“给定资料4”，撰写一份关于L海关的工作经验交流材料提纲。（20 分） 要求：(1)紧扣资料，内容全面；(2)准确简明，条理清晰；(3)不超过500字。反食品浪费法实施后，G市市场监管 局开出的首张《责令改正通知书》引发了社会热议。
32	2022年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	5	30	1000	贯彻执行	公开信	公开信	full	以局的名义，回应社会关切；800-1000字	五、请根据“给定资料5”，以G市市场监管局的名义撰写一封公开信，回应社会关切，正确引导舆论，营造 良好的执法环境。（30 分） 要求：(1)观点鲜明，内容全面；(2)逻辑清晰，用语恰当；(3)字数800-1000字。 1000
33	2022年山东省公考《申论》题（A类）（网友回忆版）.pdf	1	20	300	小题（概括/分析/对策）					一、请根据给定资料2，概括X县根治“生态伤疤”的经验。（20 分） 要求：准确、全面、有条理，不超过300字。
34	2022年山东省公考《申论》题（A类）（网友回忆版）.pdf	2	30	600	贯彻执行	实施方案	方案	outline	明确要提纲	二、假如你是Z市政府研究室工作人员，请根据给定资料3，起草一份治理城市交通拥堵的实施方案提纲。 （30 分） 要求：结构完整，条理清晰，措施得当，要素全面，不超过600字。
35	2022年山东省公考《申论》题（A类）（网友回忆版）.pdf	3	50	1000	文章论述					三、请结合全部给定资料，以“大凡治事，必需通观全局”为主题，自拟题目，写一篇文章。（50 分） 要求：(1)观点明确，见解深刻；(2)参考“给定资料”，但不拘泥于“给定资料”；(3)逻辑清晰，语言流畅；(4)1000字 左右。 1000
36	2022年山东省公考《申论》题（B类）（网友回忆版）.pdf	1	20	300	小题（概括/分析/对策）					一、请根据给定资料1，总结F市整治“群众最不满意的10件事”的基本经验。（20 分） 要求：全面、准确、有条理，不超过300字。
37	2022年山东省公考《申论》题（B类）（网友回忆版）.pdf	2	30	600	贯彻执行	整改方案	方案	outline	明确要提纲	二、假如你是A市非煤矿山安全整治工作专班成员，请根据给定资料3，草拟一份整改方案提纲。（30 分） 要求：结构完整，条理清晰，措施得当，要素全面，不超过600字。
38	2022年山东省公考《申论》题（B类）（网友回忆版）.pdf	3	50	1000	文章论述					三、请结合全部给定资料，以“把准脉，开准方”为主题，自拟题目，撰写一篇文章。（50 分） 要求：(1)观点明确，见解深刻；(2)参考“给定资料”，但不拘泥于“给定资料”；(3)逻辑清晰，语言流畅；(4)1000字 左右。 1000
39	2023年公务员多省联考《申论》题（四川上半年行政执法卷）（网友回忆版）.pdf	1	25	400	小题（概括/分析/对策）					一、根据“给定资料1”，概括Z省在融合型大社区治理过程中遇到的新问题以及运用的新解法。（25 分） 要求：全面、准确、有条理。不超过400字。
40	2023年公务员多省联考《申论》题（四川上半年行政执法卷）（网友回忆版）.pdf	2	20	300	提出对策·带身份				有身份/对象	二、假如你是N市市场监管局工作人员，请根据“给定资料2”，对座谈会上反映的问题提出解决的初步建 议，供领导参考。（20 分） 要求：(1)全面、准确、有条理；(2)有针对性，合理可行；(3)不超过300字。
41	2023年公务员多省联考《申论》题（四川上半年行政执法卷）（网友回忆版）.pdf	3	15	350	贯彻执行	经验交流材料	交流材料	full		三、“给定资料3”中，海港街道有12个小区获评“五星级平安小区”，请结合材料里该街道管理的成功做法， 拟写一份经验交流材料。（15 分） 要求：(1)内容全面；(2)逻辑完整，条理清楚；(3)不超过350字。
42	2023年公务员多省联考《申论》题（四川上半年行政执法卷）（网友回忆版）.pdf	4	40	1000	文章论述					四、根据“给定资料4”，以“面子、里子”为话题，联系实际，自选角度，自拟题目，写一篇文章。（40 分） 要求：(1)观点明确，见解深刻。(2)参考给定资料，但不拘泥于给定资料。(3)思路清晰，语言流畅。(4)字数800- 1000字。 1000
43	2023年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	1	15	200	小题（概括/分析/对策）					一、请根据“给定资料1”，归纳概括A县发展山核桃产业的措施。（15 分） 要求：全面准确，条理清晰，语言简洁；不超过200字。
44	2023年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	2	20	400	贯彻执行	简报	简报	full		二、假如你是B县政府办工作人员，请根据“给定资料2”，就B县上澳湾海域养殖用海改革实践写一份简报。 （20 分） 要求：内容全面，简明扼要，语言流畅；不超过400字。
45	2023年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	3	25	500	贯彻执行	参评材料	推荐/参评	full	典型案例评选参评	三、C县将参加全市托育服务典型案例评选，假如你是C县卫健委工作人员，请根据“给定资料3”，拟写一份 参评材料。（25 分） 要求：(1)中心明确，亮点突出；(2)思路清晰，语言流畅；(3)不超过500字。
46	2023年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	4	40	1000	文章论述					四、请根据“给定资料4”，围绕“精度·温度·力度”这一主题，联系实际，自选角度，自拟题目，写一篇议 论文。（40 分） 要求：(1)观点鲜明，论述深刻；(2)思路清晰，结构完整；(3)语言流畅，书写工整；(4)限800-1000字。 1000
47	2023年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	1	15	200	小题（概括/分析/对策）					一、请根据“给定资料1”，归纳概括A省推进农业高质量发展的举措。（15 分） 要求：全面准确，条理清晰，语言简洁；不超过200字。
48	2023年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	2	20	400	贯彻执行	情况介绍	介绍	full	对某模式作简要介绍	二、请根据“给定资料2”，对B省“工业上楼”模式进行简要介绍。(20分)要求；内容全面，思路清晰，简明扼 要；不超过400字。（20 分）
49	2023年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	3	25	500	贯彻执行	宣传稿	宣传	full		三、假如你是C省文旅厅负责宣传的工作人员，请根据“给定资料3”，拟写一篇C省文物资源保护与利用情况 的宣传稿。（25 分） 要求：(1)内容全面，亮点突出；(2)思路清晰，语言生动；(3)不超过500字。
50	2023年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	4	40	1000	文章论述					四、“给定资料4”中的画线句子提到，“我们必须心无旁骛，在大变局的喧嚣中始终坚守住‘本分’，切实增强 好‘本领’，推动高质量发展的步伐就能坚实稳健，我们就能走向更加广阔的未来。”请结合对这句话的理 解，参考给定资料，联系实际，自选角度，自拟题目，写一篇议论文。（40 分） 要求：(1)观点鲜明，论述深刻；(2)思路清晰，结构完整；(3)语言流畅，书写工整；(4)限800-1000字。 1000
51	2023年国家公考《申论》题（副省卷）（网友回忆版）.pdf	1	10	250	小题（概括/分析/对策）					一、“给定资料1”中，青年画家以玉陵湖大桥作画并题名为《巧》。请你谈谈玉陵湖大桥“巧”在哪些地方？ （10 分） 要求：全面、准确、有条理。不超过250字。
52	2023年国家公考《申论》题（副省卷）（网友回忆版）.pdf	2	15	250	小题（概括/分析/对策）					二、请你根据“给定资料2”，谈谈为什么“有村民说，窑洞修复的过程，也是他们从旁观者变成参与者再到传 承者的过程”。（15 分） 要求：分析全面，条理清晰。不超过250字。
53	2023年国家公考《申论》题（副省卷）（网友回忆版）.pdf	3	20	400	贯彻执行	建议书	建议	full	《关于加强…的建议》	三、假如你是J市文史学家叶教授，请根据“给定资料3”，起草一份《关于加强凤凰河流域文化建设的建 议》。（20 分） 要求：(1)意义全面，问题精准，措施可行；(2)层次分明，逻辑清晰，表述准确；(3)不超过400字。
54	2023年国家公考《申论》题（副省卷）（网友回忆版）.pdf	4	20	500	贯彻执行	汇报	汇报	full	调研情况汇报	四、“给定资料5”中调研组拟向乐原市政府汇报调研情况，汇报的重点是如何借鉴“给定资料4”中的N市和M 市的经验，促进与新远眼镜公司的合作以及乐原市相关产业的发展，请你为调研组草拟汇报的主要内容。 （20 分） 要求：(1)观点明确，内容全面；(2)条理清晰，有逻辑性；(3)不超过500字。
55	2023年国家公考《申论》题（副省卷）（网友回忆版）.pdf	5	35	1200	文章论述					五、大河奔流不息，在流动中焕发生机。纵横交错的桥梁路网，构成了经济发展的动脉，不断产生新的发 展机遇；产业通过转型升级，迸发出新的活力，不断释放新的动能……请你参考给定资料，联系实际，自 选角度，以“流动与新生”为题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数1000- 1200字。 1000 1100 1200
56	2023年国家公考《申论》题（地市卷）（网友回忆版）.pdf	1	10	200	小题（概括/分析/对策）					一、GEP反映了生态系统产生的直接、间接或潜在的经济效益。请你根据“给定资料1”，谈谈A市是如何利 用GEP核算实现生态产品价值的。（10 分） 要求：全面、准确、有条理。不超过200字。有关部门正在征集知识产权服务优秀案例，计划编印《知识产权服 务案例汇编》。
57	2023年国家公考《申论》题（地市卷）（网友回忆版）.pdf	2	15	300	贯彻执行	案例摘要	推荐/参评	full	入选优秀案例	二、假如L市知识产权信息服务中心的相关实践入选为优秀案例，请你根据“给定资料2”，撰写一篇案例摘 要。（15 分） 要求：(1)紧扣资料，内容全面，突出做法和意义；(2)表述准确，条理清晰；(3)不超过300字。
58	2023年国家公考《申论》题（地市卷）（网友回忆版）.pdf	3	20	400	小题（概括/分析/对策）					三、假如你是S市新能源办公室调研组成员，请根据“给定资料3”，梳理S市在推进整县屋顶分布式光伏开发 试点过程中存在的问题，并提出解决问题的建议。（20 分） 要求：(1)问题梳理全面、准确、有条理；(2)所提建议具体明确，切实可行；(3)不超过400字。《金融报》“金融向 善”专栏拟报道M市F银行的相关事例。
59	2023年国家公考《申论》题（地市卷）（网友回忆版）.pdf	4	20	500	贯彻执行	短评	短评	full	以专栏编辑身份	四、假如你是该专栏的编辑，请根据“给定资料4”，为该报道撰写一则短评。（20 分） 要求：(1)观点明确，简明深刻；(2)紧扣资料，重点突出；(3)语言流畅，有逻辑性；(4)不超过500字。
60	2023年国家公考《申论》题（地市卷）（网友回忆版）.pdf	5	35	1200	文章论述					五、请你深入思考“给定资料5”中这位学者文章的有关内容，参考给定资料，联系实际，自选角度，自拟题 目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数1000- 1200字。 1000 1100 1200
61	2023年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	1	10	200	小题（概括/分析/对策）					一、GEP反映了生态系统产生的直接、间接或潜在的经济效益。请你根据“给定资料1”，谈谈A市是如何利 用GEP核算实现生态产品价值的。（10 分） 要求：全面、准确、有条理。不超过200字。
62	2023年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	2	20	450	贯彻执行	座谈会发言	交流材料	full	参会代表发言	二、H市计划召开关于促进本市“无人经济”新业态健康发展的座谈会，假如你是市场监管部门的参会代表， 将在座谈会上发言，请根据“给定资料2”，写一份发言提纲。（20 分） 要求：(1)紧扣资料，内容具体；(2)层次分明，有逻辑性；(3)不超过450字。D市语言文字规范化联合整治工作组 拟向上级汇报实施整治工作的思路。
63	2023年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	3	20	450	贯彻执行	汇报	汇报	outline	明确要提纲	三、请你根据“给定资料3”，草拟一份汇报提纲。（20 分） 要求：(1)内容全面，重点突出；(2)层次分明，条理清晰；(3)不超过450字。有关部门正在征集知识产权服务优秀 案例，计划编印《知识产权服务案例汇编》。
64	2023年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	4	15	300	贯彻执行	案例摘要	推荐/参评	full	同 57（国考跨卷种共用材料）	四、假如L市知识产权信息服务中心的相关实践入选为优秀案例，请你根据“给定资料4”，撰写一篇案例摘 要。（15 分） 要求：(1)紧扣资料，内容全面，突出做法和意义；(2)表述准确，条理清晰；(3)不超过300字。
65	2023年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	5	35	1200	文章论述					五、请你深入思考“给定资料5”中这位学者文章的有关内容，参考给定资料，联系实际，自选角度，自拟题 目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数1000- 1200字。 1000 1100 1200
66	2024_四川省选调生考试_申论.pdf	1	20	350	小题（概括/分析/对策）					一、结合资料，分析“以人民为中心”发展思想的实践意义。（20 分） 要求：不超过350字。
67	2024年四川省公考《申论》题（县乡卷）（网友回忆版）.pdf	1	15	200	小题（概括/分析/对策）					一、请根据“给定资料1”，谈谈莲花社区为什么能“脱胎换骨”。（15 分） 要求：全面、准确、有条理；不超过200字。
68	2024年四川省公考《申论》题（县乡卷）（网友回忆版）.pdf	2	20	400	提出对策·带身份				有身份/对象	二、C市拟对全市市政公用设施进行优化提升。假如你是市政部门的工作人员，请根据“给定资料2”，对该 市公共座椅存在的问题进行梳理，并提出优化建议。（20 分） 要求：(1)梳理完所有问题后再提出建议；(2)问题梳理全面、准确，建议具体可行、有针对性；(3)不超过400字。
69	2024年四川省公考《申论》题（县乡卷）（网友回忆版）.pdf	3	25	500	贯彻执行	交流发言	交流材料	full	现场会交流发言	三、四川省拟召开推进现代种业发展现场会，天府现代种业园将在会上做交流发言。假如你是该种业园的 工作人员，请根据“给定资料3”，撰写一份发言提纲。（25 分） 要求：内容全面，要点突出，条理清晰，语言简洁；不超过500字。
70	2024年四川省公考《申论》题（县乡卷）（网友回忆版）.pdf	4	40	1000	文章论述					四、“给定资料4”中提到：“我们的乡村，要知道从何处来，更要明白往何处去。”请你对这句话进行深入思 考，参考给定资料，联系实际，自选角度，自拟题目，撰写一篇文章。（40 分） 要求：(1)观点明确，见解深刻；(2)思路清晰，语言流畅；(3)限800-1000字。 1000
71	2024年四川省公考《申论》题（行政执法卷）（网友回忆版）.pdf	1	15	200	小题（概括/分析/对策）					一、请根据“给定资料1”，归纳概括K省各地服务型行政执法工作的具体做法。（15 分） 要求：全面、准确、有条理；不超过200字。
72	2024年四川省公考《申论》题（行政执法卷）（网友回忆版）.pdf	2	20	400	贯彻执行	工作简报	简报	full		二、B县综合行政执法局创建的“执法基础信息管控平台”，引起社会广泛关注。请根据“给定资料2”，撰写一 份关于平台运行情况的工作简报。（20 分） 要求：内容全面，重点突出，结构完整，语言流畅；不超过400字。
73	2024年四川省公考《申论》题（行政执法卷）（网友回忆版）.pdf	3	25	500	小题（概括/分析/对策）					三、请根据“给定资料3”，指出市税务稽查队伍存在的问题，并提出加强队伍建设的建议。（25 分） 要求：(1)梳理完所有问题后再提出建议；(2)问题梳理全面、准确，建议具体可行，有针对性；(3)不超过500字。
74	2024年四川省公考《申论》题（行政执法卷）（网友回忆版）.pdf	4	40	1000	文章论述					四、给定资料4中提到“法治建设既要抓末端、治已病，更要抓前端、治未病”，请结合对这句话的理解，联 系实际，自拟题目，写一篇文章。（40 分） 要求：(1)观点明确，认识深刻；(2)结构完整，思路清晰；(3)语言流畅，字数800-1000字。 1000
75	2024年国家公考《申论》题（副省级）.pdf	1	10	200	小题（概括/分析/对策）					一、“耀然灯饰”的发展，是星河镇灯饰企业发展的缩影。请你根据“给定材料1”，简要总结“耀然灯饰”成功的 经验。（10 分） 要求：全面、准确、有条理，不超过200字。
76	2024年国家公考《申论》题（副省级）.pdf	2	20	400	小题（概括/分析/对策）					二、新民乐走红引发了网民的诸多议论。请根据“给定材料2”谈谈这些议论主要涉及了哪些问题，并分别予 以简要说明。（20 分） 要求：归类合理、分条列示、简洁准确，不超过400字。
77	2024年国家公考《申论》题（副省级）.pdf	3	15	350	小题（概括/分析/对策）					三、“给定材料3”中提到，小李感觉自己陷入了“两难”境地。请分析小李产生这种心态的原因，并提出走出 这种困境的对策。（15 分） 要求：分析全面、对策得当、逻辑清晰，不超过350字。
78	2024年国家公考《申论》题（副省级）.pdf	4	20	500	贯彻执行	汇报	汇报	full	调研情况汇报+改进建议	四、“给定材料4”反映了C市高标准农田建设过程中的一些情况，调研结束后，督导调研组拟向局领导汇报 调研情况，并提出改进建议。假如你是调研组成员，请草拟汇报的主要内容。（20 分） 要求：(1)紧扣材料，内容全面；(2)简明扼要，条理清晰；(3)不超过500字。
79	2024年国家公考《申论》题（副省级）.pdf	5	35	0	文章论述					五、“给定材料5”中提到“我们要用积极的态度对旧事物的价值进行最大挖掘，让它们重新焕发生机”，请你 对此进行深入思考，参考给定材料，联系实际，自选角度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考“给定材料”，但不拘泥于“给定材料”；(3)思路清晰，语言流畅；(4)字数 1000～1200字。 1000 1100 1200
80	2024年国家公考《申论》题（行政执法）.pdf	1	10	250	小题（概括/分析/对策）					一、“给定材料1”中提到“乡村需要的不仅仅是艺术家，更是对乡村有感情并能挖掘本土文化特色的运营 官。”请根据“给定材料1”，谈谈冯教授团队是怎样当好这个“运营官”的。（10 分） 要求：全面、准确、有条理，不超过250字。
81	2024年国家公考《申论》题（行政执法）.pdf	2	15	300	小题（概括/分析/对策）					二、“给定材料2”中，隆金公司虽然做的是配件，但也成为了市场中的主角，请你谈谈隆金公司为什么能成 为“市场中的主角”。（15 分） 要求：(1)紧扣材料，归纳准确；(2)内容全面，条理清晰；(3)不超过300字。
82	2024年国家公考《申论》题（行政执法）.pdf	3	20	400	贯彻执行	情况报告	汇报	full	成效、不足和改进建议	三、如果你是“给定材料3”中有关部门的工作人员，请根据座谈会参会人员的发言内容，围绕非遗法实施的 成效、不足和改进建议，写一份情况报告。（20 分） 要求：(1)紧扣材料，内容全面；(2)要点突出，条理清晰，语言准确；(3)不超过400字。
83	2024年国家公考《申论》题（行政执法）.pdf	4	20	400	小题（概括/分析/对策）					四、请根据“给定材料4”，对退休人员再就业面临的问题进行梳理，并提出解决建议。（20 分） 要求：(1)问题梳理全面、准确；(2)所提建议具体明确，有针对性，切实可行；(3)不超过400字。
84	2024年国家公考《申论》题（行政执法）.pdf	5	35	0	文章论述					五、请结合“给定材料5”，围绕行政执法工作中的“力”“理”“利”进行深入思考，联系实际，自拟题目，写一篇 文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定材料，但不拘泥于给定材料；(3)思路清晰，语言流畅；(4)字数1000～ 1200字。 1000 1100 1200
85	2024年国考·地市级·申论.pdf	1	15	300	小题（概括/分析/对策）					一、“给定资料2”中，隆金公司虽然做的是配件，但也成为了市场中的主角。请你谈谈隆金公司为什么能成 为“市场中的主角”。（15 分） 要求：(1)紧扣资料，归纳准确；(2)内容全面，条理清晰；(3)不超过300字。
