paper	seq	score	words	doctype	stem
2023年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	1	15	200		一、请根据“给定资料1”，归纳概括A县发展山核桃产业的措施。（15 分） 要求：全面准确，条理清晰，语言简洁；不超过200字。
2023年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	2	20	400	简报	二、假如你是B县政府办工作人员，请根据“给定资料2”，就B县上澳湾海域养殖用海改革实践写一份简报。 （20 分） 要求：内容全面，简明扼要，语言流畅；不超过400字。
2023年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	3	25	500	案例	三、C县将参加全市托育服务典型案例评选，假如你是C县卫健委工作人员，请根据“给定资料3”，拟写一份 参评材料。（25 分） 要求：(1)中心明确，亮点突出；(2)思路清晰，语言流畅；(3)不超过500字。
2023年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	4	40	1000		四、请根据“给定资料4”，围绕“精度·温度·力度”这一主题，联系实际，自选角度，自拟题目，写一篇议 论文。（40 分） 要求：(1)观点鲜明，论述深刻；(2)思路清晰，结构完整；(3)语言流畅，书写工整；(4)限800-1000字。 1000
2023年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	1	15	200		一、请根据“给定资料1”，归纳概括A省推进农业高质量发展的举措。（15 分） 要求：全面准确，条理清晰，语言简洁；不超过200字。
2023年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	2	20	400		二、请根据“给定资料2”，对B省“工业上楼”模式进行简要介绍。(20分)要求；内容全面，思路清晰，简明扼 要；不超过400字。（20 分）
2023年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	3	25	500	宣传稿	三、假如你是C省文旅厅负责宣传的工作人员，请根据“给定资料3”，拟写一篇C省文物资源保护与利用情况 的宣传稿。（25 分） 要求：(1)内容全面，亮点突出；(2)思路清晰，语言生动；(3)不超过500字。
2023年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	4	40	1000		四、“给定资料4”中的画线句子提到，“我们必须心无旁骛，在大变局的喧嚣中始终坚守住‘本分’，切实增强 好‘本领’，推动高质量发展的步伐就能坚实稳健，我们就能走向更加广阔的未来。”请结合对这句话的理 解，参考给定资料，联系实际，自选角度，自拟题目，写一篇议论文。（40 分） 要求：(1)观点鲜明，论述深刻；(2)思路清晰，结构完整；(3)语言流畅，书写工整；(4)限800-1000字。 1000
2023年国家公考《申论》题（副省卷）（网友回忆版）.pdf	1	10	250		一、“给定资料1”中，青年画家以玉陵湖大桥作画并题名为《巧》。请你谈谈玉陵湖大桥“巧”在哪些地方？ （10 分） 要求：全面、准确、有条理。不超过250字。
2023年国家公考《申论》题（副省卷）（网友回忆版）.pdf	2	15	250		二、请你根据“给定资料2”，谈谈为什么“有村民说，窑洞修复的过程，也是他们从旁观者变成参与者再到传 承者的过程”。（15 分） 要求：分析全面，条理清晰。不超过250字。
2023年国家公考《申论》题（副省卷）（网友回忆版）.pdf	3	20	400		三、假如你是J市文史学家叶教授，请根据“给定资料3”，起草一份《关于加强凤凰河流域文化建设的建 议》。（20 分） 要求：(1)意义全面，问题精准，措施可行；(2)层次分明，逻辑清晰，表述准确；(3)不超过400字。
2023年国家公考《申论》题（副省卷）（网友回忆版）.pdf	4	20	500	汇报	四、“给定资料5”中调研组拟向乐原市政府汇报调研情况，汇报的重点是如何借鉴“给定资料4”中的N市和M 市的经验，促进与新远眼镜公司的合作以及乐原市相关产业的发展，请你为调研组草拟汇报的主要内容。 （20 分） 要求：(1)观点明确，内容全面；(2)条理清晰，有逻辑性；(3)不超过500字。
2023年国家公考《申论》题（副省卷）（网友回忆版）.pdf	5	35	1200		五、大河奔流不息，在流动中焕发生机。纵横交错的桥梁路网，构成了经济发展的动脉，不断产生新的发 展机遇；产业通过转型升级，迸发出新的活力，不断释放新的动能……请你参考给定资料，联系实际，自 选角度，以“流动与新生”为题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数1000- 1200字。 1000 1100 1200
2023年国家公考《申论》题（地市卷）（网友回忆版）.pdf	1	10	200	案例	一、GEP反映了生态系统产生的直接、间接或潜在的经济效益。请你根据“给定资料1”，谈谈A市是如何利 用GEP核算实现生态产品价值的。（10 分） 要求：全面、准确、有条理。不超过200字。有关部门正在征集知识产权服务优秀案例，计划编印《知识产权服 务案例汇编》。
2023年国家公考《申论》题（地市卷）（网友回忆版）.pdf	2	15	300	案例	二、假如L市知识产权信息服务中心的相关实践入选为优秀案例，请你根据“给定资料2”，撰写一篇案例摘 要。（15 分） 要求：(1)紧扣资料，内容全面，突出做法和意义；(2)表述准确，条理清晰；(3)不超过300字。
2023年国家公考《申论》题（地市卷）（网友回忆版）.pdf	3	20	400		三、假如你是S市新能源办公室调研组成员，请根据“给定资料3”，梳理S市在推进整县屋顶分布式光伏开发 试点过程中存在的问题，并提出解决问题的建议。（20 分） 要求：(1)问题梳理全面、准确、有条理；(2)所提建议具体明确，切实可行；(3)不超过400字。《金融报》“金融向 善”专栏拟报道M市F银行的相关事例。
2023年国家公考《申论》题（地市卷）（网友回忆版）.pdf	4	20	500	短评	四、假如你是该专栏的编辑，请根据“给定资料4”，为该报道撰写一则短评。（20 分） 要求：(1)观点明确，简明深刻；(2)紧扣资料，重点突出；(3)语言流畅，有逻辑性；(4)不超过500字。
2023年国家公考《申论》题（地市卷）（网友回忆版）.pdf	5	35	1200		五、请你深入思考“给定资料5”中这位学者文章的有关内容，参考给定资料，联系实际，自选角度，自拟题 目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数1000- 1200字。 1000 1100 1200
2023年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	1	10	200		一、GEP反映了生态系统产生的直接、间接或潜在的经济效益。请你根据“给定资料1”，谈谈A市是如何利 用GEP核算实现生态产品价值的。（10 分） 要求：全面、准确、有条理。不超过200字。
2023年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	2	20	450	提纲	二、H市计划召开关于促进本市“无人经济”新业态健康发展的座谈会，假如你是市场监管部门的参会代表， 将在座谈会上发言，请根据“给定资料2”，写一份发言提纲。（20 分） 要求：(1)紧扣资料，内容具体；(2)层次分明，有逻辑性；(3)不超过450字。D市语言文字规范化联合整治工作组 拟向上级汇报实施整治工作的思路。
2023年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	3	20	450	汇报	三、请你根据“给定资料3”，草拟一份汇报提纲。（20 分） 要求：(1)内容全面，重点突出；(2)层次分明，条理清晰；(3)不超过450字。有关部门正在征集知识产权服务优秀 案例，计划编印《知识产权服务案例汇编》。
2023年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	4	15	300	案例	四、假如L市知识产权信息服务中心的相关实践入选为优秀案例，请你根据“给定资料4”，撰写一篇案例摘 要。（15 分） 要求：(1)紧扣资料，内容全面，突出做法和意义；(2)表述准确，条理清晰；(3)不超过300字。
2023年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	5	35	1200		五、请你深入思考“给定资料5”中这位学者文章的有关内容，参考给定资料，联系实际，自选角度，自拟题 目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数1000- 1200字。 1000 1100 1200
2024_四川省选调生考试_申论.pdf	1	20	350		一、结合资料，分析“以人民为中心”发展思想的实践意义。（20 分） 要求：不超过350字。
2024年四川省公考《申论》题（县乡卷）（网友回忆版）.pdf	1	15	200		一、请根据“给定资料1”，谈谈莲花社区为什么能“脱胎换骨”。（15 分） 要求：全面、准确、有条理；不超过200字。
2024年四川省公考《申论》题（县乡卷）（网友回忆版）.pdf	2	20	400		二、C市拟对全市市政公用设施进行优化提升。假如你是市政部门的工作人员，请根据“给定资料2”，对该 市公共座椅存在的问题进行梳理，并提出优化建议。（20 分） 要求：(1)梳理完所有问题后再提出建议；(2)问题梳理全面、准确，建议具体可行、有针对性；(3)不超过400字。
2024年四川省公考《申论》题（县乡卷）（网友回忆版）.pdf	3	25	500	提纲	三、四川省拟召开推进现代种业发展现场会，天府现代种业园将在会上做交流发言。假如你是该种业园的 工作人员，请根据“给定资料3”，撰写一份发言提纲。（25 分） 要求：内容全面，要点突出，条理清晰，语言简洁；不超过500字。
2024年四川省公考《申论》题（县乡卷）（网友回忆版）.pdf	4	40	1000		四、“给定资料4”中提到：“我们的乡村，要知道从何处来，更要明白往何处去。”请你对这句话进行深入思 考，参考给定资料，联系实际，自选角度，自拟题目，撰写一篇文章。（40 分） 要求：(1)观点明确，见解深刻；(2)思路清晰，语言流畅；(3)限800-1000字。 1000
2024年四川省公考《申论》题（行政执法卷）（网友回忆版）.pdf	1	15	200		一、请根据“给定资料1”，归纳概括K省各地服务型行政执法工作的具体做法。（15 分） 要求：全面、准确、有条理；不超过200字。
2024年四川省公考《申论》题（行政执法卷）（网友回忆版）.pdf	2	20	400	简报	二、B县综合行政执法局创建的“执法基础信息管控平台”，引起社会广泛关注。请根据“给定资料2”，撰写一 份关于平台运行情况的工作简报。（20 分） 要求：内容全面，重点突出，结构完整，语言流畅；不超过400字。
2024年四川省公考《申论》题（行政执法卷）（网友回忆版）.pdf	3	25	500		三、请根据“给定资料3”，指出市税务稽查队伍存在的问题，并提出加强队伍建设的建议。（25 分） 要求：(1)梳理完所有问题后再提出建议；(2)问题梳理全面、准确，建议具体可行，有针对性；(3)不超过500字。
2024年四川省公考《申论》题（行政执法卷）（网友回忆版）.pdf	4	40	1000		四、给定资料4中提到“法治建设既要抓末端、治已病，更要抓前端、治未病”，请结合对这句话的理解，联 系实际，自拟题目，写一篇文章。（40 分） 要求：(1)观点明确，认识深刻；(2)结构完整，思路清晰；(3)语言流畅，字数800-1000字。 1000
2024年国家公考《申论》题（副省级）.pdf	1	10	200	总结	一、“耀然灯饰”的发展，是星河镇灯饰企业发展的缩影。请你根据“给定材料1”，简要总结“耀然灯饰”成功的 经验。（10 分） 要求：全面、准确、有条理，不超过200字。
2024年国家公考《申论》题（副省级）.pdf	2	20	400		二、新民乐走红引发了网民的诸多议论。请根据“给定材料2”谈谈这些议论主要涉及了哪些问题，并分别予 以简要说明。（20 分） 要求：归类合理、分条列示、简洁准确，不超过400字。
2024年国家公考《申论》题（副省级）.pdf	3	15	350		三、“给定材料3”中提到，小李感觉自己陷入了“两难”境地。请分析小李产生这种心态的原因，并提出走出 这种困境的对策。（15 分） 要求：分析全面、对策得当、逻辑清晰，不超过350字。
2024年国家公考《申论》题（副省级）.pdf	4	20	500	汇报	四、“给定材料4”反映了C市高标准农田建设过程中的一些情况，调研结束后，督导调研组拟向局领导汇报 调研情况，并提出改进建议。假如你是调研组成员，请草拟汇报的主要内容。（20 分） 要求：(1)紧扣材料，内容全面；(2)简明扼要，条理清晰；(3)不超过500字。
2024年国家公考《申论》题（副省级）.pdf	5	35	0		五、“给定材料5”中提到“我们要用积极的态度对旧事物的价值进行最大挖掘，让它们重新焕发生机”，请你 对此进行深入思考，参考给定材料，联系实际，自选角度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考“给定材料”，但不拘泥于“给定材料”；(3)思路清晰，语言流畅；(4)字数 1000～1200字。 1000 1100 1200
2024年国家公考《申论》题（行政执法）.pdf	1	10	250		一、“给定材料1”中提到“乡村需要的不仅仅是艺术家，更是对乡村有感情并能挖掘本土文化特色的运营 官。”请根据“给定材料1”，谈谈冯教授团队是怎样当好这个“运营官”的。（10 分） 要求：全面、准确、有条理，不超过250字。
2024年国家公考《申论》题（行政执法）.pdf	2	15	300		二、“给定材料2”中，隆金公司虽然做的是配件，但也成为了市场中的主角，请你谈谈隆金公司为什么能成 为“市场中的主角”。（15 分） 要求：(1)紧扣材料，归纳准确；(2)内容全面，条理清晰；(3)不超过300字。
2024年国家公考《申论》题（行政执法）.pdf	3	20	400	报告	三、如果你是“给定材料3”中有关部门的工作人员，请根据座谈会参会人员的发言内容，围绕非遗法实施的 成效、不足和改进建议，写一份情况报告。（20 分） 要求：(1)紧扣材料，内容全面；(2)要点突出，条理清晰，语言准确；(3)不超过400字。
2024年国家公考《申论》题（行政执法）.pdf	4	20	400		四、请根据“给定材料4”，对退休人员再就业面临的问题进行梳理，并提出解决建议。（20 分） 要求：(1)问题梳理全面、准确；(2)所提建议具体明确，有针对性，切实可行；(3)不超过400字。
2024年国家公考《申论》题（行政执法）.pdf	5	35	0		五、请结合“给定材料5”，围绕行政执法工作中的“力”“理”“利”进行深入思考，联系实际，自拟题目，写一篇 文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定材料，但不拘泥于给定材料；(3)思路清晰，语言流畅；(4)字数1000～ 1200字。 1000 1100 1200
2024年国考·地市级·申论.pdf	1	15	300		一、“给定资料2”中，隆金公司虽然做的是配件，但也成为了市场中的主角。请你谈谈隆金公司为什么能成 为“市场中的主角”。（15 分） 要求：(1)紧扣资料，归纳准确；(2)内容全面，条理清晰；(3)不超过300字。
2024年国考·地市级·申论.pdf	2	20	450		二、请根据“给定资料4”，梳理S市公共文化空间建设和运营中存在的问题，并提出解决建议。（20 分） 要求：(1)问题梳理全面、准确；(2)所提建议具体明确、有针对性、切实可行；(3)不超过450字。
2025年四川省公考《申论》题（县乡、普通选调卷）（网友回忆版）.pdf	1	15	200		一、请根据“给定资料1”，概括Z市各地在开展农民工回引工作方面的举措。（15 分） 要求：全面、准确、有条理，不超过200字。
2025年四川省公考《申论》题（县乡、普通选调卷）（网友回忆版）.pdf	2	20	400		二、假如你是华林坝街道办工作人员小谢，请根据“给定资料2”，就如何平衡好家和苑小区的文旅发展与居 民日常生活，提出工作建议。（20 分） 要求：(1)先梳理完所有问题，再提出建议；(2)问题梳理全面准确，建议针对性强、切实可行；(3)不超过400字。
2025年四川省公考《申论》题（县乡、普通选调卷）（网友回忆版）.pdf	3	25	500	简报	三、假如你是攀枝花市R区农业农村局工作人员，请根据“给定资料3”，就“攀果”在R区的成长之路，撰写一 份工作简报，供领导参阅。（25 分） 要求：内容全面，亮点突出，结构完整，条理清晰；不超过500字。
2025年四川省公考《申论》题（县乡、普通选调卷）（网友回忆版）.pdf	4	40	1000		四、“给定资料4”中提到“优势”“顺势”“借势”，请你结合对“势”的理解，参考给定资料，联系实际，自选角 度，自拟题目，撰写一篇文章。（40 分） 要求：(1)观点明确，见解深刻；(2)思路清晰，语言流畅；(3)限800-1000字。 1000
2025年四川省公考《申论》题（省市卷）.pdf	1	15	200		一、请根据“给定资料1”，概括Z市各地在开展农民工回引工作方面的举措。（15 分） 要求：全面、准确、有条理，不超过200字。
2025年四川省公考《申论》题（省市卷）.pdf	2	20	300		二、请根据“给定资料2”，谈谈你对文中“对话”一词的理解。（20 分） 要求：分析全面，理解透彻，思路清晰，语言简洁；不超过300字。
2025年四川省公考《申论》题（省市卷）.pdf	3	25	500	调研报告	三、调研组将根据调研情况撰写调研报告，假如你是调研组成员，请根据“给定资料3”，拟写一份调研报告 提纲。（25 分） 要求：内容全面，结构完整，要点突出，条理清晰；不超过500字。
2025年四川省公考《申论》题（省市卷）.pdf	4	40	0		四、请参考给定资料1-4，围绕“以‘通路’谋同路”这一话题，联系实际，自选角度，自拟题目，撰写一篇文 章。（40 分） 要求：(1)观点明确，见解深刻；(2)思路清晰，语言流畅；(3)限800～1000字。 1000
2025年四川省公考《申论》题（行政执法卷）.pdf	1	15	200		一、请根据“给定资料1”。概括“亮晶晶”未检团队在保护未成年工作方面的举措。（15 分） 要求：全面、准确、有条理，不超过200字。
2025年四川省公考《申论》题（行政执法卷）.pdf	2	20	350		二、请根据“给定资料2”，谈谈你对“纽扣法庭”为守护长江黄河干支流长久安澜扣好“同心扣”的理解。（20 分） 要求：分析全面，理解透彻，条理清晰，不超过350字。
