id,folder,name,ext,year,chars,err,anchor,nq,ans_at,answer,explain,shenti,findpt,score,align,bucket
49,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2015年四川公务员考试《申论》真题及答案.docx,.docx,2015,8702,,参考答案,3,77,1,0,0,0,0,1,B2·只有答案
51,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2016年423公务员联考《申论》（福建、广西、四川）卷及答案.docx,.docx,2016,8826,,参考答案,4,74,1,0,0,0,0,1,B2·只有答案
52,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2016年四川公务员考试《申论》（下半年）卷及答案.docx,.docx,2016,10488,,参考答案,3,78,1,0,0,0,0,1,B2·只有答案
53,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2017年422公务员联考《申论》（四川上半年卷）真题答案及解析.doc,.doc,2017,10838,,参考答案,3,63,1,0,1,0,0,1,B·答案+解析(无说明)
54,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2017年四川公务员考试《申论》真题（下半年）及答案.docx,.docx,2017,9489,,参考答案,3,81,1,0,0,0,0,1,B2·只有答案
56,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2018年421联考《申论》真题（四川上半年）及参考答案.doc,.doc,2018,10761,,参考答案,6,65,1,0,1,0,0,1,B·答案+解析(无说明)
55,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2018年四川省公考《申论》真题（下半年）及参考答案.doc,.doc,2018,10507,,参考答案,6,63,1,0,1,0,0,1,B·答案+解析(无说明)
57,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2019年420联考《申论》真题（四川上半年卷）及参考答案.docx,.docx,2019,9470,,参考答案,4,80,1,0,0,0,0,1,B2·只有答案
58,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2019年四川公务员考试《申论》真题（下半年卷）及参考答案.docx,.docx,2019,8295,,参考答案,3,76,1,0,0,0,0,1,B2·只有答案
61,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2020年1205四川省公考《申论》题（下半年）及参考答案.docx,.docx,2020,11987,,,0,66,1,0,0,0,0,0,B2·只有答案
129,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2006年四川省公务员考试《申论》真题及参考答案.pdf,.pdf,2006,5448,,,0,66,1,0,0,0,0,0,B2·只有答案
130,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2007年四川公务员考试《申论》真题及参考答案.pdf,.pdf,2007,7146,,行首序号,3,74,1,0,0,0,0,1,B2·只有答案
131,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2008年四川公务员考试《申论》真题及参考答案.pdf,.pdf,2008,5974,,参考答案,5,70,1,0,0,0,0,1,B2·只有答案
132,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2009年四川公务员考试《申论》真题及答案.pdf,.pdf,2009,8395,,行首序号,3,63,1,0,0,0,0,1,B2·只有答案
133,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2010年四川公务员考试《申论》真题及答案.pdf,.pdf,2010,9832,,,0,65,1,0,0,0,0,0,B2·只有答案
134,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2011年424公务员联考《申论》卷及参考答案（福建、广西、四川、江苏、辽宁、天津、海南、江西、湖南、湖北、山西、黑龙江、贵州、重庆、陕西、云南、山东）.pdf,.pdf,2011,10188,,参考答案,4,74,1,0,0,0,1,1,B·答案+解析(无说明)
135,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2011年四川公务员考试《申论》（下半年卷）真题及答案.pdf,.pdf,2011,8648,,参考答案,3,74,1,0,0,0,0,1,B2·只有答案
136,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2012年421公务员联考《申论》卷及参考答案（福建、广西、四川、辽宁、海南、湖南、湖北、山西、黑龙江、重庆、陕西、云南、新疆、宁夏、青海）.pdf,.pdf,2012,11142,,参考答案,4,74,1,0,0,0,0,1,B2·只有答案
137,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2012年四川公务员考试《申论》（下半年卷）真题及答案.pdf,.pdf,2012,10093,,题号,3,80,1,0,0,0,0,1,B2·只有答案
138,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2013年413公务员联考《申论》（广西、四川、辽宁、海南、山西、内蒙古、黑龙江、贵州）卷及答案.pdf,.pdf,2013,9032,,参考答案,4,78,1,0,0,0,0,1,B2·只有答案
139,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2013年四川公务员考试《申论》（下半年卷）真题及答案.pdf,.pdf,2013,7549,,行首序号,6,78,1,0,0,0,0,1,B2·只有答案
140,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2014年四川公务员考试《申论》（下半年卷）真题及答案.pdf,.pdf,2014,12208,,参考答案,3,70,1,0,0,0,0,1,B2·只有答案
141,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2014年四川公务员考试《申论》（山西、四川卷）真题及答案.pdf,.pdf,2014,9473,,参考答案,4,78,1,0,0,0,0,1,B2·只有答案
142,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2015年四川公务员考试《申论》真题及答案.pdf,.pdf,2015,8555,,参考答案,3,77,1,0,0,0,0,1,B2·只有答案
143,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2016年423公务员联考《申论》（福建、广西、四川）卷及答案.pdf,.pdf,2016,8679,,参考答案,4,74,1,0,0,0,0,1,B2·只有答案
144,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2016年四川公务员考试《申论》（下半年）卷及答案.pdf,.pdf,2016,10309,,参考答案,3,78,1,0,0,0,0,1,B2·只有答案
145,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2017年422公务员联考《申论》（四川上半年卷）真题答案及解析.pdf,.pdf,2017,10667,,参考答案,3,63,1,0,1,0,0,1,B·答案+解析(无说明)
146,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2017年四川公务员考试《申论》真题（下半年）及答案.pdf,.pdf,2017,9237,,参考答案,3,81,1,0,0,0,0,1,B2·只有答案
147,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2018年421联考《申论》真题（四川上半年）及参考答案.pdf,.pdf,2018,10483,,参考答案,6,65,1,0,1,0,0,1,B·答案+解析(无说明)
148,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2018年四川省公考《申论》真题（下半年）及参考答案.pdf,.pdf,2018,10237,,参考答案,6,64,1,0,1,0,0,1,B·答案+解析(无说明)
149,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2019年420联考《申论》真题（四川上半年卷）及参考答案.pdf,.pdf,2019,9309,,参考答案,4,80,1,0,0,0,0,1,B2·只有答案
151,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2019年四川公务员考试《申论》真题（下半年卷）及参考答案.pdf,.pdf,2019,8152,,参考答案,3,76,1,0,0,0,0,1,B2·只有答案
153,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2020年1205四川省公考《申论》题（下半年）及参考答案.pdf,.pdf,2020,11795,,,0,66,1,0,0,0,0,0,B2·只有答案
160,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2023年公务员多省联考《申论》（四川县乡卷）真题及答案.pdf,.pdf,2023,9640,,试题号,3,79,1,0,0,0,0,1,B2·只有答案
161,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2023年公务员多省联考《申论》（四川省市卷）真题及答案.pdf,.pdf,2023,9454,,试题号,3,79,1,0,0,0,0,1,B2·只有答案
162,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2024年四川申论真题（县乡级）真题及参考答案.pdf,.pdf,2024,11729,,参考答案,6,76,1,0,1,0,0,1,B·答案+解析(无说明)
163,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2024年四川省公考《申论》题（行政执法卷）及参考答案.pdf,.pdf,2024,8884,,参考答案,5,75,1,0,0,0,0,1,B2·只有答案
164,公考/四川公务员考试真题/四川公务员考试真题——申论（06-25）,2025年四川省公考《申论》题（县乡、普通选调卷）及参考答案.pdf,.pdf,2025,12529,,,0,63,1,1,0,0,0,0,B2·只有答案
235,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2000年国家录用公务员考试《申论》真题卷及答案.pdf,.pdf,2000,9366,,,0,-1,0,0,0,0,0,0,C·抽不到答案字样
237,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2001年国家录用公务员考试《申论》真题卷及答案.pdf,.pdf,2001,3645,,行首序号,3,58,1,0,0,0,0,1,B2·只有答案
239,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2002年国家录用公务员考试《申论》真题卷及答案.pdf,.pdf,2002,4266,,行首序号,6,65,1,0,0,0,0,1,B2·只有答案
241,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2003年国家录用公务员考试《申论》真题卷及答案.pdf,.pdf,2003,7373,,,0,71,1,0,0,0,0,0,B2·只有答案
240,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2004年国家录用公务员考试《申论》真题卷及答案.pdf,.pdf,2004,7061,,,0,66,1,0,0,0,0,0,B2·只有答案
242,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2005年国家录用公务员考试《申论》真题卷及答案.pdf,.pdf,2005,6093,,行首序号,3,72,1,0,0,0,0,1,B2·只有答案
243,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2006年国家录用公务员考试《申论》真题卷及答案.pdf,.pdf,2006,11939,,行首序号,3,78,1,0,0,0,0,1,B2·只有答案
245,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2007年国家录用公务员考试《申论》真题卷及答案.pdf,.pdf,2007,11684,,参考答案,4,66,1,0,0,0,0,1,B2·只有答案
244,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2008年国家录用公务员考试《申论》真题卷及答案.pdf,.pdf,2008,12724,,参考答案,4,58,1,0,0,0,0,1,B2·只有答案
246,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2009年国家录用公务员考试《申论》真题卷及答案（地市、副省）.pdf,.pdf,2009,10175,,参考答案,4,76,1,0,0,0,1,1,B·答案+解析(无说明)
247,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2010年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,.pdf,2010,11129,,参考答案,6,66,1,0,0,0,1,1,B·答案+解析(无说明)
248,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2010年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,.pdf,2010,11466,,参考答案,6,63,1,0,0,0,1,1,B·答案+解析(无说明)
249,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2011年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,.pdf,2011,11994,,参考答案,6,69,1,0,0,0,0,1,B2·只有答案
250,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2011年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,.pdf,2011,12050,,参考答案,6,69,1,0,0,0,0,1,B2·只有答案
251,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2012年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,.pdf,2012,10796,,参考答案,6,67,1,0,0,0,0,1,B2·只有答案
254,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2012年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,.pdf,2012,9812,,参考答案,6,76,1,0,0,0,0,1,B2·只有答案
252,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2013年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,.pdf,2013,11600,,参考答案,5,79,1,0,0,0,0,1,B2·只有答案
253,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2013年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,.pdf,2013,10296,,参考答案,5,79,1,0,0,0,0,1,B2·只有答案
255,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2014年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,.pdf,2014,11003,,参考答案,5,74,1,0,0,0,0,1,B2·只有答案
256,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2014年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,.pdf,2014,11442,,参考答案,5,72,1,0,0,0,0,1,B2·只有答案
257,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2015年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,.pdf,2015,11371,,参考答案,5,76,1,0,0,0,0,1,B2·只有答案
258,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2015年国家录用公务员考试《申论》真题卷及答案（省部级）.pdf,.pdf,2015,11594,,参考答案,5,79,1,0,0,0,0,1,B2·只有答案
259,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2016年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,.pdf,2016,10536,,参考答案,5,79,1,0,0,0,0,1,B2·只有答案
260,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2016年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,.pdf,2016,11009,,参考答案,4,72,1,0,0,0,0,1,B2·只有答案
261,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2017年国家录用公务员考试《申论》真题卷及答案（地市级）（含解析共20面）.pdf,.pdf,2017,35021,,,0,20,1,0,1,1,0,0,B·答案+解析(无说明)
263,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2017年国家录用公务员考试《申论》真题卷及答案（省级）（含解析共20面）.pdf,.pdf,2017,42360,,,0,20,1,0,1,0,0,0,B·答案+解析(无说明)
262,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2018年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,.pdf,2018,9947,,参考答案,5,75,1,0,0,0,0,1,B2·只有答案
264,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2018年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,.pdf,2018,9927,,,0,73,1,0,0,0,0,0,B2·只有答案
265,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2019年国家公务员考试《申论》真题及答案（地市级）（含解析）.pdf,.pdf,2019,18634,,,0,38,1,1,0,0,0,0,B2·只有答案
266,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2019年国家公务员考试《申论》真题及答案（省级）（含解析）.pdf,.pdf,2019,15890,,,0,46,1,1,1,1,0,0,A·答案+说明+审题
267,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2020年国家公务员考试《申论》真题及答案（地市级）.pdf,.pdf,2020,11071,,参考答案,5,77,1,0,0,0,0,1,B2·只有答案
268,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2020年国家公务员考试《申论》真题及答案（省级）.pdf,.pdf,2020,10772,,参考答案,5,76,1,0,0,0,0,1,B2·只有答案
269,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2021年国家公务员考试《申论》真题（副省级）及参考答案(两套答案).pdf,.pdf,2021,13765,,,0,61,1,0,0,0,0,0,B2·只有答案
270,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2021年国家公务员考试《申论》真题（地市级）及参考答案(两套答案).pdf,.pdf,2021,13458,,,0,59,1,0,0,0,0,0,B2·只有答案
271,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2022国考《申论》真题及答案解析（地市级）.pdf,.pdf,2022,10871,,参考答案,5,77,1,0,0,0,0,1,B2·只有答案
272,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2022年国家公务员考试申论试题（行政执法卷）及参考答案.pdf,.pdf,2022,10604,,参考答案,6,76,1,0,0,0,0,1,B2·只有答案
273,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2022年国家公考《申论》真题（副省级）及参考答案.pdf,.pdf,2022,10707,,参考答案,6,75,1,0,0,0,0,1,B2·只有答案
274,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2023年国家公考《申论》真题及答案（副省卷）.pdf,.pdf,2023,36512,,试题号,4,23,1,1,1,1,0,1,A·答案+说明+审题
275,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2023年国家公考《申论》真题及答案（地市卷）.pdf,.pdf,2023,10995,,参考答案,5,75,1,0,0,0,0,1,B2·只有答案
278,公考/国考公务员2000-2026真题/2000-2023国考申论PDF,2023年国家公考《申论》真题及答案（行政执法卷）.pdf,.pdf,2023,40070,,答案要点,4,20,1,1,1,1,0,1,A·答案+说明+审题
279,公考/国考公务员2000-2026真题/2000-2023国考申论PDF/24年国考申论-已完整,2、2024国考申论（地市级）-参考答案.pdf,.pdf,2024,3371,,参考答案,6,1,1,0,0,0,0,1,B2·只有答案
281,公考/国考公务员2000-2026真题/2000-2023国考申论PDF/24年国考申论-已完整,4-1、2024国考申论（副省级）参考答案（1-3题）.pdf,.pdf,2024,7,,,0,-1,0,0,0,0,0,0,D·文字层缺失(疑扫描件)
282,公考/国考公务员2000-2026真题/2000-2023国考申论PDF/24年国考申论-已完整,4-2、2024国考申论（副省级）-参考答案（4-5题）.pdf,.pdf,2024,1624,,参考答案,3,2,1,0,0,0,0,1,B2·只有答案
284,公考/国考公务员2000-2026真题/2000-2023国考申论PDF/24年国考申论-已完整,6、2024国考申论（行政执法卷）-参考答案.pdf,.pdf,2024,3231,,参考答案,6,1,1,0,0,0,0,1,B2·只有答案
394,公考/国考公务员2000-2026真题/2024年国考行测+申论PDF/24年国考行测,4-【地市卷】2024年国考-答案和解析.pdf,.pdf,2024,30,,,0,-1,0,0,0,0,0,0,D·文字层缺失(疑扫描件)
396,公考/国考公务员2000-2026真题/2024年国考行测+申论PDF/24年国考行测,6-【副省卷】2024年国考-答案和解析（3月9日更新）.pdf,.pdf,2024,35,,,0,-1,0,0,0,0,0,0,D·文字层缺失(疑扫描件)
404,公考/国考公务员2000-2026真题/2025年国考行测+申论PDF/2、2025国考【申论】真题试卷及答案,2025年国家公务员考试《申论》题（副省级）及参考答案.pdf,.pdf,2025,10851,,参考答案,6,76,1,0,0,0,0,1,B2·只有答案
410,公考/国考公务员2000-2026真题/2025年国考行测+申论PDF/2、2025国考【申论】真题试卷及答案,2025年国家公务员考试《申论》题（地市级）及参考答案.pdf,.pdf,2025,11027,,参考答案,6,74,1,0,0,0,0,1,B2·只有答案
409,公考/国考公务员2000-2026真题/2025年国考行测+申论PDF/2、2025国考【申论】真题试卷及答案,2025年国家公务员考试《申论》题（行政执法卷）及参考答案.pdf,.pdf,2025,11006,,参考答案,6,75,1,0,0,0,0,1,B2·只有答案
411,公考/国考公务员2000-2026真题/2026国考行测真题试卷和答案,2026年国考申论行政执法卷（多机构答案对比）.pdf,.pdf,2026,357,,,0,-1,0,0,0,0,0,0,D·文字层缺失(疑扫描件)
425,公考/国考公务员2000-2026真题/国考真题word版/2025年国考行测+申论,2025年国家公考《申论》题（行政执法）及参考答案 .docx,.docx,2025,11189,,,0,0,1,0,0,0,0,0,B2·只有答案
512,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2000年国家录用公务员考试《申论》真题卷及答案.doc,.doc,2000,9640,,,0,-1,0,0,0,0,0,0,C·抽不到答案字样
514,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2001年国家录用公务员考试《申论》真题卷及答案.doc,.doc,2001,3739,,,0,58,1,0,0,0,0,0,B2·只有答案
516,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2002年国家录用公务员考试《申论》真题卷及答案.doc,.doc,2002,4268,,行首序号,6,65,1,0,0,0,0,1,B2·只有答案
517,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2003年国家录用公务员考试《申论》真题卷及答案.doc,.doc,2003,7599,,,0,71,1,0,0,0,0,0,B2·只有答案
518,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2004年国家录用公务员考试《申论》真题卷及答案.doc,.doc,2004,7243,,,0,66,1,0,0,0,0,0,B2·只有答案
520,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2005年国家录用公务员考试《申论》真题卷及答案.doc,.doc,2005,6263,,行首序号,3,72,1,0,0,0,0,1,B2·只有答案
519,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2006年国家录用公务员考试《申论》真题卷及答案.doc,.doc,2006,12008,,行首序号,3,78,1,0,0,0,0,1,B2·只有答案
521,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2007年国家录用公务员考试《申论》真题卷及答案.doc,.doc,2007,11693,,参考答案,4,66,1,0,0,0,0,1,B2·只有答案
522,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2008年国家录用公务员考试《申论》真题卷及答案.doc,.doc,2008,12956,,参考答案,4,58,1,0,0,0,0,1,B2·只有答案
523,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2009年国家录用公务员考试《申论》真题卷及答案（地市、副省）.doc,.doc,2009,10266,,参考答案,4,76,1,0,0,0,1,1,B·答案+解析(无说明)
524,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2010年国家录用公务员考试《申论》真题卷及答案（副省级）.doc,.doc,2010,11129,,参考答案,6,66,1,0,0,0,1,1,B·答案+解析(无说明)
525,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2010年国家录用公务员考试《申论》真题卷及答案（地市级）.doc,.doc,2010,11488,,参考答案,6,63,1,0,0,0,1,1,B·答案+解析(无说明)
526,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2011年国家录用公务员考试《申论》真题卷及答案（副省级）.doc,.doc,2011,12086,,参考答案,6,69,1,0,0,0,0,1,B2·只有答案
527,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2011年国家录用公务员考试《申论》真题卷及答案（地市级）.doc,.doc,2011,12144,,参考答案,6,69,1,0,0,0,0,1,B2·只有答案
528,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2012年国家录用公务员考试《申论》真题卷及答案（副省级）.doc,.doc,2012,10806,,参考答案,6,67,1,0,0,0,0,1,B2·只有答案
530,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2012年国家录用公务员考试《申论》真题卷及答案（地市级）.doc,.doc,2012,9811,,参考答案,6,76,1,0,0,0,0,1,B2·只有答案
529,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2013年国家录用公务员考试《申论》真题卷及答案（副省级）.doc,.doc,2013,11720,,参考答案,5,79,1,0,0,0,0,1,B2·只有答案
531,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2013年国家录用公务员考试《申论》真题卷及答案（地市级）.doc,.doc,2013,10477,,参考答案,5,79,1,0,0,0,0,1,B2·只有答案
532,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2014年国家录用公务员考试《申论》真题卷及答案（副省级）.doc,.doc,2014,11126,,参考答案,5,74,1,0,0,0,0,1,B2·只有答案
533,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2014年国家录用公务员考试《申论》真题卷及答案（地市级）.doc,.doc,2014,11602,,参考答案,5,72,1,0,0,0,0,1,B2·只有答案
534,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2015年国家录用公务员考试《申论》真题卷及答案（地市级）.doc,.doc,2015,11480,,参考答案,5,76,1,0,0,0,0,1,B2·只有答案
535,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2015年国家录用公务员考试《申论》真题卷及答案（省部级）.doc,.doc,2015,11710,,参考答案,5,79,1,0,0,0,0,1,B2·只有答案
536,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2016年国家录用公务员考试《申论》真题卷及答案（副省级）.doc,.doc,2016,10812,,参考答案,5,79,1,0,0,0,0,1,B2·只有答案
537,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2016年国家录用公务员考试《申论》真题卷及答案（地市级）.doc,.doc,2016,11147,,参考答案,4,72,1,0,0,0,0,1,B2·只有答案
538,公考/国考公务员2000-2026真题/国考真题word版/国考申论2000至2023年,2017年国家录用公务员考试《申论》真题卷及答案（地市级）（含解析共20面）.doc,.doc,2017,35406,,,0,20,1,0,1,1,0,0,B·答案+解析(无说明)
